date,value
2017-12-27,119.300003
2017-12-28,119.349998
2017-12-29,119.919998
2018-01-02,118.059998
2018-01-03,117.75
2018-01-04,118.330002
2018-01-05,118.669998
2018-01-08,117.989998
2018-01-09,118.080002
2018-01-10,117.480003
2018-01-11,116.879997
2018-01-12,117.379997
2018-01-16,117.860001
2018-01-17,119.18
2018-01-18,119.050003
2018-01-19,120.169998
2018-01-22,121.510002
2018-01-23,121.300003
2018-01-24,121.139999
2018-01-25,120.900002
2018-01-26,121.760002
2018-01-29,119.669998
2018-01-30,119.889999
2018-01-31,120.300003
2018-02-01,120.300003
2018-02-02,118.669998
2018-02-05,114.459999
2018-02-06,113.559998
2018-02-07,113.5
2018-02-08,110.150002
2018-02-09,111.18
2018-02-12,111.93
2018-02-13,112.139999
2018-02-14,109.110001
2018-02-15,110.970001
2018-02-16,111.059998
2018-02-20,109.480003
2018-02-21,108
2018-02-22,109.260002
2018-02-23,109.68
2018-02-26,110.940002
2018-02-27,110.889999
2018-02-28,109.730003
2018-03-01,108.120003
2018-03-02,109.040001
2018-03-05,109.43
2018-03-06,109.580002
2018-03-07,109.839996
2018-03-08,112.080002
2018-03-09,112.540001
2018-03-12,112.75
2018-03-13,113.599998
2018-03-14,112.610001
2018-03-15,111.989998
2018-03-16,111.639999
2018-03-19,110.360001
2018-03-20,109.900002
2018-03-21,108.739998
2018-03-22,107.940002
2018-03-23,106.150002
2018-03-26,106.809998
2018-03-27,107.639999
2018-03-28,109.18
2018-03-29,109.150002
2018-04-02,107.050003
2018-04-03,108.190002
2018-04-04,110.18
2018-04-05,110.57
2018-04-06,109.300003
2018-04-09,109.379997
2018-04-10,109.400002
2018-04-11,108.68
2018-04-12,108.309998
2018-04-13,109.260002
2018-04-16,109.919998
2018-04-17,108.870003
2018-04-18,106.980003
2018-04-19,105.57
2018-04-20,102.480003
2018-04-23,102.580002
2018-04-24,101.440002
2018-04-25,101.150002
2018-04-26,103.260002
2018-04-27,101.709999
2018-04-30,100.940002
2018-05-01,99.129997
2018-05-02,97.230003
2018-05-03,97.599998
2018-05-04,98.989998
2018-05-07,98.230003
2018-05-08,96.790001
2018-05-09,96.160004
2018-05-10,97.269997
2018-05-11,97.43
2018-05-14,97.150002
2018-05-15,96.800003
2018-05-16,97.190002
2018-05-17,97.919998
2018-05-18,97.510002
2018-05-21,99.510002
2018-05-22,99.93
2018-05-23,100.449997
2018-05-24,100.18
2018-05-25,100.309998
2018-05-29,101.099998
2018-05-30,101.830002
2018-05-31,100.25
2018-06-01,100.25
2018-06-04,100.120003
2018-06-05,100.209999
2018-06-06,100.830002
2018-06-07,101.160004
2018-06-08,102.489998
2018-06-11,103.209999
2018-06-12,104.480003
2018-06-13,105.269997
2018-06-14,105.129997
2018-06-15,107.610001
2018-06-18,105.379997
2018-06-19,105.959999
2018-06-20,105.809998
2018-06-21,107.239998
2018-06-22,108.370003
2018-06-25,108.989998
2018-06-26,108.050003
2018-06-27,108.269997
2018-06-28,108.68
2018-06-29,108.870003
2018-07-02,109.529999
2018-07-03,108.800003
2018-07-05,109.550003
2018-07-06,109.559998
2018-07-09,107.760002
2018-07-10,112.889999
2018-07-11,112.540001
2018-07-12,111.529999
2018-07-13,112.690002
2018-07-16,112.959999
2018-07-17,114.879997
2018-07-18,114.830002
2018-07-19,115.769997
2018-07-20,116.010002
2018-07-23,114.389999
2018-07-24,114.739998
2018-07-25,115.209999
2018-07-26,115
2018-07-27,114.279999
2018-07-30,114.18
2018-07-31,115
2018-08-01,113.610001
2018-08-02,114.690002
2018-08-03,116.300003
2018-08-06,117.379997
2018-08-07,114.220001
2018-08-08,113.489998
2018-08-09,113.699997
2018-08-10,112.870003
2018-08-13,113.019997
2018-08-14,113.099998
2018-08-15,113.449997
2018-08-16,114.25
2018-08-17,114.959999
2018-08-20,114.839996
2018-08-21,113.720001
2018-08-22,112.239998
2018-08-23,111.93
2018-08-24,112.150002
2018-08-27,112.410004
2018-08-28,111.169998
2018-08-29,112.050003
2018-08-30,111.959999
2018-08-31,112.010002
2018-09-04,111
2018-09-05,113.120003
2018-09-06,113.5
2018-09-07,112.739998
2018-09-10,113.57
2018-09-11,113.330002
2018-09-12,113.849998
2018-09-13,114.989998
2018-09-14,114.57
2018-09-17,115.400002
2018-09-18,113.980003
2018-09-19,113.769997
2018-09-20,115.220001
2018-09-21,114.910004
2018-09-24,112.269997
2018-09-25,111.970001
2018-09-26,111.5
2018-09-27,111.050003
2018-09-28,111.800003
2018-10-01,110.709999
2018-10-02,108.720001
2018-10-03,107.519997
2018-10-04,106.610001
2018-10-05,106.489998
2018-10-08,108.190002
2018-10-09,108.120003
2018-10-10,107.339996
2018-10-11,105.059998
2018-10-12,105.279999
2018-10-15,105.629997
2018-10-16,107.389999
2018-10-17,108.309998
2018-10-18,107.93
2018-10-19,110.290001
2018-10-22,109.400002
2018-10-23,110.129997
2018-10-24,112.959999
2018-10-25,112.849998
2018-10-26,110.449997
2018-10-29,112.889999
2018-10-30,113.769997
2018-10-31,112.379997
2018-11-01,111.510002
2018-11-02,111.169998
2018-11-05,114.389999
2018-11-06,115.209999
2018-11-07,115.610001
2018-11-08,116.059998
2018-11-09,117.480003
2018-11-12,116.970001
2018-11-13,117.139999
2018-11-14,116.650002
2018-11-15,116.800003
2018-11-16,118.349998
2018-11-19,119.010002
2018-11-20,116
2018-11-21,115.279999
2018-11-23,115.410004
2018-11-26,115.860001
2018-11-27,116.440002
2018-11-28,118.5
2018-11-29,118.269997
2018-11-30,121.940002
2018-12-03,118.980003
2018-12-04,117.800003
2018-12-06,116.839996
2018-12-07,115.82
2018-12-10,116.190002
2018-12-11,117.290001
2018-12-12,117
2018-12-13,118.349998
2018-12-14,113.949997
2018-12-17,112.870003
2018-12-18,111.839996
2018-12-19,110.040001
2018-12-20,110.209999
2018-12-21,109.419998
2018-12-24,106.029999
2018-12-26,108.330002
2018-12-27,109.419998
2018-12-28,110.360001
2018-12-31,110.480003
2019-01-02,109.279999
2019-01-03,108.260002
2019-01-04,110.480003
2019-01-07,109.529999
2019-01-08,110.580002
2019-01-09,107.489998
2019-01-10,108.150002
2019-01-11,108.160004
2019-01-14,107.32
2019-01-15,108.989998
2019-01-16,108.339996
2019-01-17,109.220001
2019-01-18,110.07
2019-01-22,109.910004
2019-01-23,110.730003
2019-01-24,109.5
2019-01-25,109.349998
2019-01-28,108.82
2019-01-29,109
2019-01-30,110.82
2019-01-31,112.669998
2019-02-01,112.190002
2019-02-04,113.089996
2019-02-05,112.900002
2019-02-06,113.050003
2019-02-07,113.089996
2019-02-08,113.019997
2019-02-11,112.970001
2019-02-12,113.790001
2019-02-13,114.120003
2019-02-14,112.589996
2019-02-15,115.910004
2019-02-19,115.93
2019-02-20,115.830002
2019-02-21,116.099998
2019-02-22,116.760002
2019-02-25,116.059998
2019-02-26,115.970001
2019-02-27,115.370003
2019-02-28,115.639999
2019-03-01,116.18
2019-03-04,116.169998
2019-03-05,116.029999
2019-03-06,116.660004
2019-03-07,116.099998
2019-03-08,115.230003
2019-03-11,116.589996
2019-03-12,116.57
2019-03-13,116.580002
2019-03-14,115.5
2019-03-15,115.660004
2019-03-18,117.269997
2019-03-19,118.089996
2019-03-20,118.32
2019-03-21,119.440002
2019-03-22,120.720001
2019-03-25,120.849998
2019-03-26,122.019997
2019-03-27,121.889999
2019-03-28,121.839996
2019-03-29,122.550003
2019-04-01,122
2019-04-02,121.68
2019-04-03,121.559998
2019-04-04,121.470001
2019-04-05,121.620003
2019-04-08,122
2019-04-09,122.169998
2019-04-10,122.040001
2019-04-11,121.669998
2019-04-12,122.230003
2019-04-15,123.660004
2019-04-16,122.410004
2019-04-17,127.010002
2019-04-18,127.089996
2019-04-22,126.440002
2019-04-23,127.089996
2019-04-24,126.919998
2019-04-25,126.129997
2019-04-26,126.400002
2019-04-29,126.690002
2019-04-30,128.050003
2019-05-01,127.239998
2019-05-02,126.830002
2019-05-03,127.669998
2019-05-06,127.269997
2019-05-07,125.980003
2019-05-08,126.019997
2019-05-09,126.050003
2019-05-10,128.009995
2019-05-13,127.160004
2019-05-14,127.410004
2019-05-15,129.350006
2019-05-16,130.270004
2019-05-17,130.509995
2019-05-20,129.990005
2019-05-21,129.050003
2019-05-22,130.070007
2019-05-23,129.970001
2019-05-24,129.5
2019-05-28,127.629997
2019-05-29,128.169998
2019-05-30,128.610001
2019-05-31,128
2019-06-03,128.979996
2019-06-04,129.070007
2019-06-05,131.389999
2019-06-06,131.979996
2019-06-07,133.470001
2019-06-10,133.589996
2019-06-11,133.199997
2019-06-12,133.139999
2019-06-13,132.940002
2019-06-14,132.729996
2019-06-17,132.520004
2019-06-18,132.059998
2019-06-19,132.850006
2019-06-20,134.160004
2019-06-21,133.960007
2019-06-24,134.139999
2019-06-25,133.809998
2019-06-26,132.320007
2019-06-27,131.690002
2019-06-28,131.130005
2019-07-01,131.869995
2019-07-02,132.429993
2019-07-03,133.990005
2019-07-05,133.020004
2019-07-08,132.559998
2019-07-09,131.740005
2019-07-10,134.410004
2019-07-11,134.350006
2019-07-12,133.279999
2019-07-15,134.149994
2019-07-16,133.800003
2019-07-17,132.779999
2019-07-18,132.880005
2019-07-19,130.089996
2019-07-22,130.279999
2019-07-23,130.740005
2019-07-24,129.210007
2019-07-25,128.990005
2019-07-26,131.220001
2019-07-29,131.529999
2019-07-30,130.479996
2019-07-31,127.809998
2019-08-01,127.139999
2019-08-02,127.919998
2019-08-05,124.400002
2019-08-06,126.449997
2019-08-07,127.779999
2019-08-08,129.470001
2019-08-09,128.600006
2019-08-12,128.350006
2019-08-13,129.929993
2019-08-14,129.119995
2019-08-15,130.720001
2019-08-16,131.759995
2019-08-19,132.570007
2019-08-20,132.059998
2019-08-21,132.339996
2019-08-22,132.660004
2019-08-23,130.270004
2019-08-26,133.740005
2019-08-27,134.759995
2019-08-28,135.190002
2019-08-29,136.020004
2019-08-30,136.729996
2019-09-03,137.460007
2019-09-04,139.149994
2019-09-05,135.979996
2019-09-06,137.369995
2019-09-09,136.399994
2019-09-10,135.860001
2019-09-11,136.360001
2019-09-12,137.289993
2019-09-13,136.440002
2019-09-16,134.880005
2019-09-17,135.699997
2019-09-18,135.5
2019-09-19,135.479996
2019-09-20,134.710007
2019-09-23,135.440002
2019-09-24,135.360001
2019-09-25,135.089996
2019-09-26,135.720001
2019-09-27,135.600006
2019-09-30,137.100006
2019-10-01,137.369995
2019-10-02,133.940002
2019-10-03,137.929993
2019-10-04,140.279999
2019-10-07,138.339996
2019-10-08,137.240005
2019-10-09,137.850006
2019-10-10,137.889999
2019-10-11,137.639999
2019-10-14,137.449997
2019-10-15,136.330002
2019-10-16,136.419998
2019-10-17,136.960007
2019-10-18,136.25
2019-10-21,136.119995
2019-10-22,136.660004
2019-10-23,137.449997
2019-10-24,137.889999
2019-10-25,136.639999
2019-10-28,136.570007
2019-10-29,136.080002
2019-10-30,136.899994
2019-10-31,137.169998
2019-11-01,136.929993
2019-11-04,135.160004
2019-11-05,134.009995
2019-11-06,134.440002
2019-11-07,133.320007
2019-11-08,133.130005
2019-11-11,132.389999
2019-11-12,131.979996
2019-11-13,133.289993
2019-11-14,133.330002
2019-11-15,133.809998
2019-11-18,134.059998
2019-11-19,134.570007
2019-11-20,133.740005
2019-11-21,133.910004
2019-11-22,134.070007
2019-11-25,133.830002
2019-11-26,135.699997
2019-11-27,135.910004
2019-11-29,135.830002
2019-12-02,135.880005
2019-12-03,135.460007
2019-12-04,137.300003
2019-12-05,136.339996
2019-12-06,137.360001
2019-12-09,137.160004
2019-12-10,136.270004
2019-12-11,137.100006
2019-12-12,137.179993
2019-12-13,137.940002
2019-12-16,137.059998
2019-12-17,136.169998
2019-12-18,135.970001
2019-12-19,136.470001
2019-12-20,137.919998
2019-12-23,137.039993
2019-12-24,136.889999
2019-12-26,136.690002
2019-12-27,137.539993
2019-12-30,136.809998
2019-12-31,136.669998
2020-01-02,135.820007
2020-01-03,135.630005
2020-01-06,136.149994
2020-01-07,134.009995
2020-01-08,134.699997
2020-01-09,134.789993
2020-01-10,134.529999
2020-01-13,136.529999
2020-01-14,136.850006
2020-01-15,139.199997
2020-01-16,139.610001
2020-01-17,141.259995
2020-01-21,141.860001
2020-01-22,143.380005
2020-01-23,143.649994
2020-01-24,142.919998
2020-01-27,142.139999
2020-01-28,142.440002
2020-01-29,141.729996
2020-01-30,143.830002
2020-01-31,142.020004
2020-02-03,142.509995
2020-02-04,143.220001
2020-02-05,144.300003
2020-02-06,144.330002
2020-02-07,145.369995
2020-02-10,145.660004
2020-02-11,146.080002
2020-02-12,146.080002
2020-02-13,146.470001
2020-02-14,146.990005
2020-02-18,145.600006
2020-02-19,145.529999
2020-02-20,145.160004
2020-02-21,145.850006
2020-02-24,142.639999
2020-02-25,141.100006
2020-02-26,141.979996
2020-02-27,136.369995
2020-02-28,132.029999
2020-03-02,137.580002
2020-03-03,135.580002
2020-03-04,142.389999
2020-03-05,138.100006
2020-03-06,137.259995
2020-03-09,130.160004
2020-03-10,134.139999
2020-03-11,129.75
2020-03-12,115.339996
2020-03-13,127.449997
2020-03-16,113.089996
2020-03-17,127.720001
2020-03-18,120.919998
2020-03-19,117.339996
